station,arrival_delay,departure_delay,min_arrival_delay,min_departure_delay,max_arrival_delay,max_departure_delay
Kortemark,1.9488280788759003,2.5262965571893986,-10,-9,225,225
Kortenberg,2.8490928660675307,2.948786229108269,-9,-9,164,164
Kortenberg-Goederen,2.0226088613508397,2.0222696565671467,-4,-4,141,141
Kortrijk,3.1008922701230394,2.1517670587046142,-68,-1,150,121
Kortrijk-Goederen,3.6,3.6,3,3,3,3
Kwatrecht,2.3644454595421662,2.6206381670112413,-34,-34,285,285
Labuissière,3.3079642248722317,3.4164822695035461,0,0,68,68
La Louvière-Centrum,1.9577761419132433,1.9277330105273301,-5,-2,103,92
La Louvière-Industriestation,1.6173637515842839,1.6177744697132745,-5,-5,99,99
La Louvière-Zuid,1.8675655514149924,2.134207666972259,-10,-10,93,83
Landegem,2.1230360172627791,2.1963353036308141,-34,-34,262,262
Landelies,0.71453199617956065,2.6166286799620133,-2,0,69,69
Landen,3.8691974092094188,3.9101646572723629,-10,-4,161,162
Landskouter,2.6966316183749365,3.3440733333333333,-11,-6,70,71
Langdorp,2.1412255855077334,2.6878667977586469,-29,-29,123,123
La Roche(Brabant),1.227666634911562,2.6300129898932294,-2,-2,54,54
Lauwe,2.5906737716041991,2.5906737716041991,-2,-2,73,73
Lebbeke,2.4537004830917874,3.0071886697341184,-3,-3,142,144
Le Campinaire,1.9843231732625918,2.2959843158464035,-2,-2,93,93
Lede,2.8287520217927982,3.1910837257314159,-8,-8,114,114
Leignon,1.0856705046686143,2.0522929500342231,-1,0,122,40
Leman,2.5509989699007256,2.8315829657278588,-7,-7,150,150
Lembeek,2.2792710980835946,2.6316346504146367,-4,-4,142,142
Lens,3.3705831521436138,4.0351731421266189,-6,-12,72,73
Leopoldsburg,2.9746458254627881,3.2877906608376101,-5,-5,63,66
Lessen,3.1102813852813853,3.2090469360780674,-1,-2,52,52
Leuven,2.9624573559897491,2.5795292210004224,-18,-10,175,154
Leuze,2.481961741961742,3.199231442747349,-3,-1,202,203
Leval,1.0994116582186821,2.143729744328412,-2,-1,61,62
Libramont,1.8604524089306698,1.3294400081900082,-15,-2,113,85
Lichtervelde,2.4662669144835182,2.6388151179680446,-24,-5,115,225
Liedekerke,2.5041172303519744,2.6168309121286778,-25,-25,158,158
Liège-Guillemins-Faisceau,9.5166666666666667,3.6635802469135802,0,-43,40,40
Lier,2.6737146699325217,2.8691538290766588,-29,-29,127,120
Lierde,1.458526932418917,2.4270303445519683,-1,0,76,77
Liers,0.38544603743528474667,0.92418834402262677833,-30,-25,191,108
Liers-Faisceau,0.05317669029651650333,-0.16148156534208838,-11,-29,108,47
Ligny,0.60147784034870032833,1.7201374996030612,-3,-2,52,52
Lillois,2.6006349032426937,3.1251256021918873,-8,-8,105,105
Limal,1.223794136760777,1.8935365853658537,-10,-10,133,134
Linkebeek,2.1764177912689415,2.6800304822399883,-5,-2,82,82
Lissewege,0.925235552763819095,1.770157422852377,-1,0,41,42
Lobbes,1.5137755587256301,1.7621855121997532,-2,0,61,72
Lobbes-Garage,1.2007599506032108,1.2188698955365622,-1,-1,61,64
Lodelinsart,0.13612517976614769,1.5183520950594121,-5,-1,53,115
Lokeren,2.6162613328348444,2.9568583235896389,-4,0,159,160
Lokeren-Oost,2.252970426102503,2.2513595306825589,-2,-2,159,159
Lommel,3.6274686210831212,4.3852750951126719,-1,-1,72,72
Londerzeel,2.1055309130064446,1.3299740728215534,-4,-4,98,98
Lonzée,2.2681847268405837,2.6284570272309486,-3,-3,144,144
Lot,2.3713117029101153,2.7077872336493504,-47,-47,161,161
Louvain-la-Neuve,2.2234642462727775,0.900040830740029575,0,0,77,65
Luik-Carré,2.0454163872000692,2.4317487771165016,-1,-1,147,148
Luik-Guillemins,3.0838432016895792,2.7286560615658947,-43,0,176,151
Luik-Sint-Lambertus,2.393710906269106,2.4731993712462462,-18,-5,149,148
Lustin,1.4180463658524452,1.9002229106226746,-1,-1,89,89
Luttre,2.1179405455102666,2.8270039804041641,-13,-4,119,108
Machelen,7.8865907653383934,7.8865907653383934,-26,-26,96,96
Maffle,2.8121747134131035,3.5622134001950132,-10,-10,78,78
Malderen,2.2541309523809524,2.7247107359635812,-4,-4,97,97
Manage,1.8495643722447846,0.89069864009135264167,-4,-4,113,76
Marbehan,1.0554545454545455,1.085106103286385,-1,0,56,55
Marche-en-Famenne,2.4539663951120163,3.014347516286645,-1,-2,71,73
Marche-les-Dames,2.3785881986402733,2.69411178644581,-2,-2,147,147
Marche-les-Dames-Marchandises,2.5157306057976818,2.5157484037464682,-2,-2,147,147
Marche-lez-Ecaussinnes,1.6541578854935019,1.9760780287474333,-6,-6,100,100
Marchienne-au-Pont,1.9962124770724288,2.5274302304845972,-6,-3,108,109
Marchienne-Zone,1.398241110477277,1.8763979872780784,-1,-1,69,70
Marcinelle,3.2254948535233571,3.239944576405384,-8,-8,44,44
Maria-Aalter,2.4981899846768176,2.6471874003734572,-39,-39,288,288
Mariembourg,1.533349847246305,1.3898476947272577,-2,-1,72,71
Marloie,1.367384295744376,1.6222635747685848,-3,-2,72,51
Masnuy-Saint-Pierre,2.2613551099216678,2.586994981868796,-6,-6,134,134
Maubray,2.1341529061515561,2.1377525055823856,-6,-6,100,100
Mazy,7.275,7.275,-1,-1,26,26
Mechelen,2.6791825821237586,2.6555558856651331,-6,-6,158,174
Mechelen-Nekkerspoel,2.8565574868548846,3.1632202032337188,-8,-8,146,149
Meiser,1.8306350868325089,2.1652229953850591,-12,-5,136,89
Melkouwen,1.8425349492372296,2.2995398089171975,-28,-28,101,101
