route,train,departure
L B4,2162,2023-01-02 11:38:00.000000 +00:00
IC 19-1,934,2023-01-02 11:38:00.000000 +00:00
L B8-1,3984,2023-01-02 11:39:00.000000 +00:00
L B9,3262,2023-01-02 11:40:00.000000 +00:00
L B2-1,3684,2023-01-02 11:41:00.000000 +00:00
L 13-2,5984,2023-01-02 11:41:00.000000 +00:00
L 15,5562,2023-01-02 11:41:00.000000 +00:00
IC 15,4933,2023-01-02 11:41:00.000000 +00:00
IC 05,4534,2023-01-02 11:42:00.000000 +00:00
IC 13,5112,2023-01-02 11:42:00.000000 +00:00
L A2,2383,2023-01-02 11:43:00.000000 +00:00
IC 19-1,912,2023-01-02 11:43:00.000000 +00:00
IC 07,2035,2023-01-02 11:46:00.000000 +00:00
IC 13,5134,2023-01-02 11:47:00.000000 +00:00
IC 12,435,2023-01-02 11:48:00.000000 +00:00
IC 28,3012,2023-01-02 11:51:00.000000 +00:00
L B2-1,3662,2023-01-02 11:51:00.000000 +00:00
IC 28,3035,2023-01-02 11:52:00.000000 +00:00
L 11,6062,2023-01-02 11:52:00.000000 +00:00
IC 07,2012,2023-01-02 11:53:00.000000 +00:00
L 36,1662,2023-01-02 11:53:00.000000 +00:00
L 26,4462,2023-01-02 11:54:00.000000 +00:00
L C2-1,4262,2023-01-02 11:54:00.000000 +00:00
L B20-2,6462,2023-01-02 11:55:00.000000 +00:00
L 03,2483,2023-01-02 11:56:00.000000 +00:00
IC 14,1735,2023-01-02 11:56:00.000000 +00:00
L S63-2,19835,2023-01-02 11:56:00.000000 +00:00
L A4-2,2683,2023-01-02 11:56:00.000000 +00:00
L 13-2,5962,2023-01-02 11:57:00.000000 +00:00
IC 32,812,2023-01-02 11:58:00.000000 +00:00
IC 18,2413,2023-01-02 12:02:00.000000 +00:00
L 31,4063,2023-01-02 12:04:00.000000 +00:00
L 08,6263,2023-01-02 12:05:00.000000 +00:00
L C4,3934,2023-01-02 12:07:00.000000 +00:00
L 37-1,4434,2023-01-02 12:08:00.000000 +00:00
L 01,4984,2023-01-02 12:10:00.000000 +00:00
L 19,4363,2023-01-02 12:10:00.000000 +00:00
L B9,3285,2023-01-02 12:12:00.000000 +00:00
L 03,2463,2023-01-02 12:13:00.000000 +00:00
IC 14,1713,2023-01-02 12:13:00.000000 +00:00
L B5-2,3563,2023-01-02 12:14:00.000000 +00:00
L 10-1,6163,2023-01-02 12:16:00.000000 +00:00
IC 32,834,2023-01-02 12:16:00.000000 +00:00
IC 15,4913,2023-01-02 12:17:00.000000 +00:00
IC 12,413,2023-01-02 12:18:00.000000 +00:00
L A4-2,2663,2023-01-02 12:19:00.000000 +00:00
IC 18,2435,2023-01-02 12:20:00.000000 +00:00
L C4,3913,2023-01-02 12:21:00.000000 +00:00
L 19,4383,2023-01-02 12:23:00.000000 +00:00
IC 26,3236,2023-01-02 12:24:00.000000 +00:00
IC 05,4513,2023-01-02 12:24:00.000000 +00:00
L S63-2,19834,2023-01-02 12:24:00.000000 +00:00
L A3,2963,2023-01-02 12:24:00.000000 +00:00
L B20-2,6484,2023-01-02 12:25:00.000000 +00:00
L 16,5763,2023-01-02 12:25:00.000000 +00:00
L 36,1684,2023-01-02 12:27:00.000000 +00:00
L B8-1,3963,2023-01-02 12:27:00.000000 +00:00
L 01,4963,2023-01-02 12:28:00.000000 +00:00
L 10-2,963,2023-01-02 12:28:00.000000 +00:00
L B7,3463,2023-01-02 12:34:00.000000 +00:00
L B5-2,3584,2023-01-02 12:34:00.000000 +00:00
L 31,4083,2023-01-02 12:34:00.000000 +00:00
L A3,2984,2023-01-02 12:35:00.000000 +00:00
L B7,3484,2023-01-02 12:35:00.000000 +00:00
L A2,2363,2023-01-02 12:36:00.000000 +00:00
L B4,2185,2023-01-02 12:37:00.000000 +00:00
IC 26,3213,2023-01-02 12:38:00.000000 +00:00
L B4,2163,2023-01-02 12:38:00.000000 +00:00
IC 19-1,935,2023-01-02 12:38:00.000000 +00:00
L B8-1,3985,2023-01-02 12:39:00.000000 +00:00
L B9,3263,2023-01-02 12:40:00.000000 +00:00
L B2-1,3685,2023-01-02 12:41:00.000000 +00:00
IC 15,4934,2023-01-02 12:41:00.000000 +00:00
L C1,4585,2023-01-02 12:41:00.000000 +00:00
L 26,4484,2023-01-02 12:42:00.000000 +00:00
IC 05,4535,2023-01-02 12:42:00.000000 +00:00
IC 19-1,913,2023-01-02 12:43:00.000000 +00:00
IC 13,5113,2023-01-02 12:43:00.000000 +00:00
L A2,2384,2023-01-02 12:43:00.000000 +00:00
IC 13,5135,2023-01-02 12:47:00.000000 +00:00
IC 28,3013,2023-01-02 12:51:00.000000 +00:00
L B2-1,3663,2023-01-02 12:51:00.000000 +00:00
IC 28,3036,2023-01-02 12:52:00.000000 +00:00
IC 07,2013,2023-01-02 12:53:00.000000 +00:00
L 36,1663,2023-01-02 12:53:00.000000 +00:00
L B20-2,6463,2023-01-02 12:55:00.000000 +00:00
L 10-2,984,2023-01-02 12:56:00.000000 +00:00
L A4-2,2684,2023-01-02 12:56:00.000000 +00:00
L 03,2484,2023-01-02 12:56:00.000000 +00:00
IC 14,1736,2023-01-02 12:56:00.000000 +00:00
L C2-1,4285,2023-01-02 12:57:00.000000 +00:00
IC 18,2414,2023-01-02 13:02:00.000000 +00:00
L 10-1,6184,2023-01-02 13:02:00.000000 +00:00
L 31,4064,2023-01-02 13:04:00.000000 +00:00
L 08,6284,2023-01-02 13:04:00.000000 +00:00
L 13-1,5884,2023-01-02 13:05:00.000000 +00:00
L 16,5784,2023-01-02 13:05:00.000000 +00:00
L 37-1,4413,2023-01-02 13:08:00.000000 +00:00
IC 14,1714,2023-01-02 13:08:00.000000 +00:00
L C1,4564,2023-01-02 13:10:00.000000 +00:00
L G1,785,2023-01-02 13:11:00.000000 +00:00
L B9,3286,2023-01-02 13:12:00.000000 +00:00
L 03,2464,2023-01-02 13:13:00.000000 +00:00
L 11,6086,2023-01-02 13:14:00.000000 +00:00
L G1,764,2023-01-02 13:14:00.000000 +00:00
