avg_departure_delay_s,sum_departure_delay_s,avg_arrival_delay_s,sum_arrival_delay_s,arrival_count,departure_count,avg_time_saving_s,sum_time_saving_s,station
160.7931567328918322,1456786,144.0301790846783109,1302897,9046,9060,-17.1072970878086591,-154496,435
204.2545023457599758,4048937,185.3923247381144239,3681150,19856,19823,-18.9996457131288592,-375395,436
163.0445760704010831,4817152,114.7520170859041291,3384955,29498,29545,-50.3482526695326584,-1452245,438
134.7048674588665448,1178937,78.7697923796486425,690496,8766,8752,-55.8602387298644107,-482018,442
139.6210415570752236,1327098,76.3471223021582734,721633,9452,9505,-63.709598899354429,-601992,446
162.2608896197657629,8090977,141.0534807649856515,7028836,49831,49864,-21.1388124183663217,-1051973,447
187.2719014534419422,9380075,162.93962354922124,8128569,49887,50088,-25.0248641495057248,-1248015,449
161.7085192558522688,21200472,180.896071371480334,23764136,131369,131103,-1.9625874639134902,-200547,455
422.2051282051282051,16466,506.3076923076923077,19746,39,39,0,0,456
159.9520939086294416,6050028,142.9564801530368245,5380596,37638,37824,-17.6437853782986526,-663918,457
114.86782852054446,2708928,195.2468524084152384,4807368,24622,23583,19.7191161062958377,207031,458
110.1794117647058824,37461,91.1299093655589124,30164,331,340,,,459
195.8218613366645846,6270216,183.9837746584549973,5885089,31987,32020,-11.9882452246225029,-383468,462
-55.3333333333333333,-166,-135,-270,2,3,0,0,468
144.5147967479674797,444383,151.6069570871261378,466343,3076,3075,7.1294729993493819,21916,470
115.3623744498363616,1022226,64.2627282004762445,566733,8819,8861,-51.3718952024498129,-452946,471
114.7790806986294592,2319800,63.4293042482195328,1273597,20079,20211,-51.9167000200120072,-1037711,472
202.2218484702867211,2524942,158.3923387096774194,1964065,12400,12486,-44.6478657306544017,-553321,474
112.4487078207877215,996408,56.0401045216996137,493265,8802,8861,-56.7281509262416184,-499151,479
113.0462287104622871,1022164,92.1086017934241116,832017,9033,9042,-20.9803747643862956,-189222,480
193.930257142102064,7338127,164.2448255783177174,6205498,37782,37839,-29.8885859494944147,-1129131,486
,,1269,1269,1,0,,,487
172.1042904622822036,3417647,125.1309608180621646,2471837,19754,19858,-47.7088466413181242,-941057,488
173.3125558135381318,970377,107.434114071160379,600879,5593,5599,-65.9393559928443649,-368601,489
142.849308536003815,2995550,128.0533173076923077,2663509,20800,20970,-15.9409104032335675,-331284,493
169.2497207595340673,6364128,166.0497765244226881,6241479,37588,37602,-3.2526489537298333,-122176,494
87.3667001450730945,782893,39.4842731970343743,351489,8902,8961,-48.0846465556055831,-427184,496
214.971130713712911,2144552,114.7660214622404974,1144332,9971,9976,-100.6734550561797753,-1003513,501
146.2360806434764442,1399918,79.4694091720012593,757264,9529,9573,-67.1242771527704763,-638419,502
170.6288631508809062,17413358,153.2861718069008746,15650978,102103,102054,-19.3537059081511184,-1853427,504
95.550373692077728,639232,95.550373692077728,639232,6690,6690,0,0,506
136.0854369860393957,2846363,111.4529386406092829,2326803,20877,20916,-24.7641197604790419,-516951,507
260.389724806968917,2630457,256.5175282234105764,2590314,10098,10102,-3.9391235375768392,-39730,510
152.9144274993948197,1263379,88.2778250821067997,725732,8221,8262,-65.0581862446743761,-534453,514
115.0902551948409855,4176165,115.0902551948409855,4176165,36286,36286,0,0,515
123.9313480227075916,2576037,124.5354307980949632,2588718,20787,20786,-0.03532922603003465537,-734,516
155.4680407081159668,9089439,144.4198912039412912,8442498,58458,58465,-11.0893013063055351,-647715,518
119.9434707993135368,2306393,119.8043580009360861,2303718,19229,19229,-0.13911279837745072547,-2675,519
180.8403084993931801,4619204,166.4808438884749618,4245428,25501,25543,-14.5710414703110273,-371037,520
176.0686230108899273,17105771,166.7493353667333017,16182356,97046,97154,-9.4777831603467291,-919544,521
147.752318339100346,6405063,232.2300309093866927,9992626,43029,43350,5.4237093514605916,118085,523
705.8148148148148148,19057,747.4642857142857143,20929,28,27,0,0,524
116.6599362380446334,658662,118.9015030946065429,672388,5655,5646,-0.13195065260146611836,-738,528
237.7272727272727273,5230,237.7272727272727273,5230,22,22,0,0,529
173.7377027691299361,5301606,153.007416401404522,4662595,30473,30515,-20.8799107289376087,-636190,530
104.5687350017140898,610054,12.8649854177388917,74990,5829,5834,-91.125,-527067,532
142.8894273127753304,2919231,142.9572302422314656,2921331,20435,20430,0,0,533
125.4606962475848276,3701216,97.6892226328101163,2881539,29497,29501,-27.7198928014112219,-817127,535
159.411195652173913,1466583,134.4742223189036328,1236356,9194,9200,-24.9649775637517785,-228105,539
121.8868942616996991,1174624,54.744503490674169,525383,9597,9637,-67.3103808033385498,-645170,540
151.0491631133456374,4746871,131.4643142519257199,4113124,31287,31426,-20.9975020815986678,-655668,541
181.4090879793747986,5629124,149.5982332838996712,4640238,31018,31030,-31.9744757843042228,-989642,542
162.7738140902697865,1273054,86.2543656908063688,671749,7788,7821,-76.6806679511881824,-596959,546
154.003260346041273,8313404,135.1631414894801291,7285023,53898,53982,-18.9920727745289149,-1023008,550
139.8689999258105201,7541177,139.8159729950293048,7538318,53916,53916,-0.05302693078121522368,-2859,551
176.1557221911783262,19545182,174.6890256558346042,19357815,110813,110954,-1.7441316250745406,-193037,553
195.0260480366389966,7494656,165.1327546326376797,6353813,38477,38429,-37.1983006677886965,-1370311,554
162.8094161588362493,4969269,162.8207581168299315,4969778,30523,30522,-0.06834414520673612476,-2086,557
177.6110616184112843,2392421,136.4612623392162728,1824760,13372,13470,-42.0733478033081356,-562142,559
171.7372666666666667,2576059,112.1526681824261067,1677131,14954,15000,-60.1509990612846989,-897092,560
113.3808340156743479,3877171,112.3992592157093304,3823598,34018,34196,-18.652939971317353,-546270,562
133.1103710242623652,4976065,122.0299842047492839,4558186,37353,37383,-11.0704104367433495,-412406,563
183.63933798909404,1919582,137.9269796111901375,1454440,10545,10453,-43.9077543960795618,-456948,565
133.7750959692898273,2787873,117.2879807692307692,2439590,20800,20840,-16.6772578471018679,-346420,566
110.0424075209482935,2153750,68.2350538622555777,1336520,19587,19572,-41.6992787223080886,-809383,567
